,Name,lbox_year,Letterboxd URI,lbox_rating,title_year_key,id,title,vote_count,status,release_date,revenue,runtime,budget,original_language,overview,popularity,poster_path,tagline,genres,production_companies,spoken_languages,keywords,release_year,decade
0,Hereditary,2018,https://boxd.it/hNVe,9/10,Hereditary-2018,493922.0,Hereditary,6880.0,Released,2018-06-07,82530552.0,128.0,10000000.0,en,"When Ellen, the matriarch of the Graham family, passes away, her daughter's family begins to unravel cryptic and increasingly terrifying secrets about their ancestry.",38.531,/p9fmuz2Oj3HtEJEqbIwkFGUhVXD.jpg,Every family tree hides a secret.,"Horror, Mystery, Thriller",PalmStar Media,English,"daughter, funeral, loss of loved one, ritual, supernatural, possession, cult, dysfunctional family, murder, family drama, fear, demon, attic, evil, ritual murder, satanic ritual, dollhouse, macabre, satanic cult, séance, shocking, matriarch, miniatures, horrified, ominous, tragic",2018,2010 - 2019
1,The Dark Knight Rises,2012,https://boxd.it/H3m,8/10,The Dark Knight Rises-2012,49026.0,The Dark Knight Rises,21335.0,Released,2012-07-17,1081041287.0,165.0,250000000.0,en,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",76.914,/hr0L2aueqlP2BYUblTTjmtn0hw4.jpg,The Legend Ends,"Action, Crime, Drama, Thriller","Syncopy, Legendary Pictures, DC Entertainment, Warner Bros. Pictures",English,"fight, burglar, hostage, secret identity, crime fighter, superhero, villainess, time bomb, based on comic, cover-up, vigilante, tragic hero, mobile, terrorism, destruction, fighting, criminal underworld, cat burglar, flood",2012,2010 - 2019
2,Ocean's Eight,2018,https://boxd.it/eaai,7/10,Ocean's Eight-2018,402900.0,Ocean's Eight,7780.0,Released,2018-06-07,297718711.0,111.0,70000000.0,en,"Debbie Ocean, a criminal mastermind, gathers a crew of female thieves to pull off the heist of the century at New York's annual Met Gala.",30.268,/MvYpKlpFukTivnlBhizGbkAe3v.jpg,Every con has its pros,"Crime, Comedy, Action","Village Roadshow Pictures, Warner Bros. Pictures, Larger Than Life Productions, Rahway Road Productions, Smoke House Pictures","English, German","new york city, heist, spin off, estranged sister, the met gala",2018,2010 - 2019
3,Avengers: Infinity War,2018,https://boxd.it/9vEe,10/10,Avengers: Infinity War-2018,299536.0,Avengers: Infinity War,27713.0,Released,2018-04-25,2052415039.0,149.0,300000000.0,en,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",154.34,/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,An entire universe. Once and for all.,"Adventure, Action, Science Fiction",Marvel Studios,"English, Xhosa","sacrifice, magic, superhero, based on comic, space, battlefield, genocide, magical object, super power, aftercreditsstinger, marvel cinematic universe (mcu), cosmic",2018,2010 - 2019
4,Incredibles 2,2018,https://boxd.it/7IPg,8/10,Incredibles 2-2018,260513.0,Incredibles 2,12061.0,Released,2018-06-14,1242805359.0,118.0,200000000.0,en,"Elastigirl springs into action to save the day, while Mr. Incredible faces his greatest challenge yet – taking care of the problems of his three children.",49.215,/9lFKBtaVIhP7E2Pk0IY1CwTKTMZ.jpg,It's time to get back to being incredible.,"Action, Adventure, Animation, Family","Walt Disney Pictures, Pixar",English,"married couple, superhero, cartoon, sequel, parenting, family, super power",2018,2010 - 2019
5,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,8/10,Fantastic Mr. Fox-2009,10315.0,Fantastic Mr. Fox,4798.0,Released,2009-10-23,46471023.0,87.0,40000000.0,en,"The Fantastic Mr. Fox, bored with his current life, plans a heist against the three local farmers. The farmers, tired of sharing their chickens with the sly fox, seek revenge against him and his family.",32.693,/njbTizADSZg4PqeyJdDzZGooikv.jpg,Dig the life fantastic!,"Adventure, Animation, Comedy, Family","Regency Enterprises, Indian Paintbrush, American Empirical Pictures","English, French, Latin","based on novel or book, tree, peasant, fox, cider, tale, farm life, anthropomorphism, revenge, stop motion",2009,2000 - 2009
6,The Man from U.N.C.L.E.,2015,https://boxd.it/67lG,7/10,The Man from U.N.C.L.E.-2015,203801.0,The Man from U.N.C.L.E.,5852.0,Released,2015-08-13,108145109.0,116.0,75000000.0,en,"At the height of the Cold War, a mysterious criminal organization plans to use nuclear weapons and technology to upset the fragile balance of power between the United States and Soviet Union. CIA agent Napoleon Solo and KGB agent Illya Kuryakin are forced to put aside their hostilities and work together to stop the evildoers in their tracks. The duo's only lead is the daughter of a missing German scientist, whom they must find soon to prevent a global catastrophe.",25.534,/zkacOORjKJxRswDurffyvkMwriS.jpg,Saving the world never goes out of style.,"Comedy, Action, Adventure","Wigram Productions, Davis Entertainment, RatPac Entertainment, Warner Bros. Pictures","Italian, English, Russian, German","cia, spy, cold war, kgb, remake, buddy cop, russian spy, american spy",2015,2010 - 2019
7,The Princess Bride,1987,https://boxd.it/26EY,9/10,The Princess Bride-1987,2493.0,The Princess Bride,4176.0,Released,1987-09-25,30861665.0,99.0,16000000.0,en,"In this enchantingly cracked fairy tale, the beautiful Princess Buttercup and the dashing Westley must overcome staggering odds to find happiness amid six-fingered swordsmen, murderous princes, Sicilians and rodents of unusual size. But even death can't stop these true lovebirds from triumphing.",31.347,/dvjqlp2sAhUeFjUOfQDgqwpphHj.jpg,It's as real as the feelings you feel.,"Adventure, Family, Fantasy, Comedy, Romance","The Princess Bride Ltd., Buttercup Films Ltd., Act III Productions",English,"dream, based on novel or book, narration, wrestling, miracle, sword fight, revenge, boat chase, pirate, wedding, swashbuckler, evil prince, screwball, impersonation, giant man, story within the story, hidden identity, fictitious country, grandfather grandson relationship, battle of wits, hilarious, romantic",1987,1980 - 1989
8,Paterson,2016,https://boxd.it/cRk2,6/10,Paterson-2016,370755.0,Paterson,1722.0,Released,2016-11-17,2152738.0,118.0,5000000.0,en,"A week in the life of Paterson, a poet bus driver, and his wife Laura, a very creative artist, who live in Paterson, New Jersey, hometown of many famous poets and artists.",11.344,/AuJ1ZlfqwuAr9H5Qr1U9KILylse.jpg,,"Drama, Romance, Comedy","Inkjet Productions, Amazon Studios, Animal Kingdom, K5 International, Le Pacte",English,"husband wife relationship, new jersey, poetry, routine, eavesdropping, beer, notebook, bus driver, hobby, twins, dog, drink, veteran, aspiration, ex-boyfriend ex-girlfriend relationship, cupcake, female artist, baking, meditative, calm, philosophical, repetition, bulldog, aspiring artist, writing a poem, fame-seeking, loving, mundanity, beauty in the mundane",2016,2010 - 2019
9,(500) Days of Summer,2009,https://boxd.it/1EmM,8/10,(500) Days of Summer-2009,19913.0,(500) Days of Summer,9359.0,Released,2009-07-17,60781545.0,95.0,7500000.0,en,"Tom, greeting-card writer and hopeless romantic, is caught completely off-guard when his girlfriend, Summer, suddenly dumps him. He reflects on their 500 days together to try to figure out where their love affair went sour, and in doing so, Tom rediscovers his true passions in life.",33.311,/f9mbM0YMLpYemcWx6o2WeiYQLDP.jpg,This is not a love story. This is a story about love.,"Comedy, Drama, Romance","Fox Searchlight Pictures, Watermark Pictures, Dune Entertainment III","English, French, Swedish","jealousy, gallery, fight, date, architect, interview, sister, love, friends, fate, los angeles, california, summer, year, heartache",2009,2000 - 2009
10,La La Land,2016,https://boxd.it/a5fa,10/10,La La Land-2016,313369.0,La La Land,15625.0,Released,2016-11-29,447407695.0,129.0,30000000.0,en,"Mia, an aspiring actress, serves lattes to movie stars in between auditions and Sebastian, a jazz musician, scrapes by playing cocktail party gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.",32.009,/uDO8zWDhfWwoFdKS4fzkUJt0Rf0.jpg,Here's to the fools who dream.,"Comedy, Drama, Romance, Music","Summit Entertainment, Black Label Media, Gilbert Films, Impostor Pictures, Marc Platt Productions, Lionsgate",English,"dancing, dance, jazz, musical, ambition, casting, coffee shop, jazz club, traffic jam, hollywood, los angeles, california, pianist, pier, audition, planetarium, aspiring actor, movie set, sunset, one woman show, pool party, griffith observatory",2016,2010 - 2019
11,Mamma Mia!,2008,https://boxd.it/1Tnq,7/10,Mamma Mia!-2008,11631.0,Mamma Mia!,6024.0,Released,2008-07-03,609841637.0,108.0,52000000.0,en,"An independent, single mother who owns a small hotel on a Greek island is about to marry off the spirited young daughter she's raised alone. But, the daughter has secretly invited three of her mother's ex-lovers in the hopes of finding her biological father.",25.811,/zdUA4FNHbXPadzVOJiU0Rgn6cHR.jpg,Take a trip down the aisle you'll never forget,"Comedy, Romance","Littlestar, Playtone, Internationale Filmproduktion Richter","English, Greek","single parent, parent child relationship, greece, musical, romantic comedy, based on play or musical, single, based on song, poem or rhyme, hotel manager, greek island, duringcreditsstinger, woman director, mother daughter relationship, lgbt interest, jukebox musical, abba, music movie",2008,2000 - 2009
12,The Big Sick,2017,https://boxd.it/eHvy,8/10,The Big Sick-2017,416477.0,The Big Sick,2245.0,Released,2017-03-30,56303596.0,120.0,5000000.0,en,"Pakistan-born comedian Kumail Nanjiani and grad student Emily Gardner fall in love but struggle as their cultures clash. When Emily contracts a mysterious illness, Kumail finds himself forced to face her feisty parents, his family's expectations, and his true feelings.",12.076,/qquEFkFbQX1i8Bal260EgGCnZ0f.jpg,An awkward true story.,"Comedy, Drama, Romance","Amazon Studios, FilmNation Entertainment, Apatow Productions, Story Ink","English, Urdu","chicago, illinois, new york city, immigrant, muslim, roommate, sadness, sarcasm, comedian, based on true story, one-man show, pakistan, family relationships, film in film, matchmaking, cultural difference, hospital, falling in love, family, illness, group of friends, intercultural relationship, college student, uber, traditional family, comedy club, stand-up comedian, grad school",2017,2010 - 2019
13,The Theory of Everything,2014,https://boxd.it/7YtA,8/10,The Theory of Everything-2014,266856.0,The Theory of Everything,10069.0,Released,2014-11-26,123726688.0,123.0,15000000.0,en,"The Theory of Everything is the extraordinary story of one of the world’s greatest living minds, the renowned astrophysicist Stephen Hawking, who falls deeply in love with fellow Cambridge student Jane Wilde.",20.867,/wucOQrqihOtHToP7UAPKMFRJ9LL.jpg,His Mind Changed Our World. Her Love Changed His.,"Drama, Romance",Working Title Films,"Latin, English, French, Italian","husband wife relationship, biography, based on true story, physicist, based on memoir or autobiography, fictional biography, motor neuron disease, als, cambridge university",2014,2010 - 2019
14,Brooklyn,2015,https://boxd.it/5bdk,8/10,Brooklyn-2015,167073.0,Brooklyn,2929.0,Released,2015-10-20,62076141.0,111.0,11000000.0,en,"In 1950s Ireland and New York, young Eilis Lacey has to choose between two men and two countries.",15.519,/wSYxJKMSpHCLz2zqrRJb9RhxGz6.jpg,"Two countries, two loves, one heart","Romance, Drama","Wildgaze Films, Item 7, Parallel Films, Fís Éireann/Screen Ireland",English,"ship, based on novel or book, love triangle, homesickness, marriage, community, working class, boarding house, suburb, ireland, brooklyn, new york city, journey, irish immigrant, 1950s",2015,2010 - 2019
15,Moonlight,2016,https://boxd.it/d6bE,7/10,Moonlight-2016,376867.0,Moonlight,6641.0,Released,2016-10-21,65046687.0,111.0,4000000.0,en,"The tender, heartbreaking story of a young man’s struggle to find himself, told across three defining chapters in his life as he experiences the ecstasy, pain, and beauty of falling in love, while grappling with his own sexuality.",16.748,/4911T5FbJ9eD2Faz5Z8cT3SUhU3.jpg,This is the story of a lifetime,Drama,"A24, Plan B Entertainment, PASTEL",English,"drug dealer, high school, florida, drug abuse, parent child relationship, fight, drug addiction, ghetto, restaurant, coming of age, male homosexuality, lgbt, addict, black lgbt, gay theme, boys' love (bl)",2016,2010 - 2019
16,Moonrise Kingdom,2012,https://boxd.it/2Wng,7/10,Moonrise Kingdom-2012,83666.0,Moonrise Kingdom,5434.0,Released,2012-05-16,68263166.0,94.0,16000000.0,en,"Set on an island off the coast of New England in the summer of 1965, Moonrise Kingdom tells the story of two twelve-year-olds who fall in love, make a secret pact, and run away together into the wilderness. As various authorities try to hunt them down, a violent storm is brewing off-shore – and the peaceful island community is turned upside down in more ways than anyone can handle.",19.062,/xrziXRHRQ7c7YLIehgSJY8GQBsx.jpg,A tormenting and surprising story of children and adults during the stormy days of the summer of 1965.,"Comedy, Drama, Romance","Focus Features, Scott Rudin Productions, Indian Paintbrush, American Empirical Pictures",English,"camping, hurricane, pen pals, coming of age, camp, orphan, new england, first love, eye patch, search party, devastation, handkerchief, child smoking, small town sheriff, the color red, boy scouts, sand dancing, meet cute, boy scouts leader, pipe smoking, duringcreditsstinger, 1960s",2012,2010 - 2019
